Référence	ContexteGauche	Pivot	ContexteDroit   [type="VERcjg" & word=".*et"]
roland	p. 26, v. 7	ki est en une muntaigne. Li reis Marsilie la tient, ki Deu nen	aimet	. Mahumet sert e Apollin recleimet : Nes poet guarder que mals ne l'i
roland	p. 26, v. 8	Li reis Marsilie la tient, ki Deu nen aimet. Mahumet sert e Apollin	recleimet	: Nes poet guarder que mals ne l'i ateignet. AOI. Li reis
roland	p. 26, v. 9	la tient, ki Deu nen aimet. Mahumet sert e Apollin recleimet : Nes	poet	guarder que mals ne l'i ateignet. AOI. Li reis Marsilie esteit en
roland	p. 26, v. 9	. Mahumet sert e Apollin recleimet : Nes poet guarder que mals ne l'i	ateignet	. AOI. Li reis Marsilie esteit en Sarraguce. Alez en est en un
roland	p. 26, v. 12	est en un verger suz l'umbre. Sur un perrun de marbre bloi se	culchet	; Envirun lui plus de vint milie humes. Il en apelet e ses dux
roland	p. 26, v. 14	marbre bloi se culchet ; Envirun lui plus de vint milie humes. Il en	apelet	e ses dux e ses cuntes : « Oez, seignurs, quel pecchet nus
roland	p. 26, v. 15	e ses dux e ses cuntes : « Oez, seignurs, quel pecchet nus	encumbret	. Li empereres Carles de France dulce En cest païs nos est venuz cunfundre.
roland	p. 26, v. 19	ai ost qui bataille li dunne, Ne n'ai tel gent ki la sue	derumpet	. Conseilez mei cume mi savie hume, Si me guarisez e de mort e
roland	p. 26, v. 22	de mort e de hunte ! » N'i ad paien ki un sul mot	respundet	, Fors Blancandrins de Castel de Valfunde. Blancandrins fut des plus saives paiens ;
roland	p. 28, v. 48	Blancandrins : « Pa ceste meie destre E par la barbe ki al piz me	ventelet	, L'ost des Franceis verrez sempres desfere. Francs s'en irunt en France
roland	p. 30, v. 61	Ne nus aiuns les mals ne les suffraites ! » Dient paien : « Issi	poet	il ben estre ! » Li reis Marsilie out sun cunseill finet, Sin apelat
roland	p. 30, v. 73	siege a Cordres la citet. Branches d'olive en voz mains portereiz, Ço	senefiet	pais e humilitet. Par voz saveirs sem puëz acorder, Jo vos durrai or
roland	p. 32, v. 95	branches d'olive. Vindrent a Charles, ki France ad en baillie ; Nes	poet	guarder que alques ne l'engignent. AOI. Li empereres se fait e balz
roland	p. 34, v. 116	un eglenter, Un faldestoed i unt, fait tut d'or mer : La	siet	li reis ki dulce France tient. Blanche ad la barbe e tut flurit le
roland	p. 34, v. 119	le chef, Gent ad le cors e le cuntenant fier : S'est kil	demandet	, ne l'estoet enseigner. E li message descendirent a pied, Sil saluerent
roland	p. 34, v. 119	ad le cors e le cuntenant fier : S'est kil demandet, ne l'	estoet	enseigner. E li message descendirent a pied, Sil saluerent par amur e par
